Transaction_ID,Amount,Transaction_Hour,Location_Risk,Device_Risk,Merchant_Risk,Transaction_Frequency,Fraud
96,12.64,2,57,47,57,5,0
97,73.41,12,21,18,49,4,0
98,70.88,17,68,78,45,6,0
99,54.88,7,50,99,82,10,0
100,43.18,20,33,71,66,6,1
101,13.26,14,91,13,77,3,0
102,35.85,0,7,82,45,6,0
103,38.76,2,70,13,79,3,0
104,24.48,7,15,100,20,3,1
105,46.47,3,82,31,64,6,0
106,81.78,15,32,2,93,3,0
107,360.03,22,75,16,93,6,0
108,65.01,9,20,9,67,2,0
109,70.64,11,88,73,83,4,0
110,50.68,13,15,38,3,4,0
111,8.01,13,48,75,54,3,0
112,53.17,1,71,54,78,7,0
113,57.99,22,21,56,64,3,0
114,641.14,4,42,86,40,1,1
115,45.04,4,26,97,59,6,0
116,73.81,5,14,100,55,3,0
117,52.74,12,57,87,62,6,0
118,16.97,8,37,45,4,2,0
119,171.2,21,58,34,60,6,0
120,115.81,14,21,9,75,6,0
121,120.43,13,82,88,95,6,1
122,21.99,23,69,8,96,9,1
123,222.03,6,3,7,91,5,0
124,13.44,19,87,36,30,6,0
125,98.19,1,90,18,2,7,0
126,488.07,6,37,3,62,6,0
127,20.28,5,88,28,49,5,0
128,30.99,16,49,70,9,3,0
129,60.32,1,19,44,92,8,1
130,33,2,89,21,31,3,0
131,11.58,4,85,28,98,5,1
132,58.47,4,12,54,61,4,0
133,18.87,0,61,54,79,5,1
134,87.67,7,41,65,48,6,0
135,21.77,11,33,100,25,3,0
136,257.22,23,50,21,36,8,0
137,24.95,3,68,99,8,3,0
138,39.56,12,71,13,73,6,0
139,123.16,22,86,57,58,2,1
140,15.94,14,33,49,45,4,0
141,68.54,10,81,54,62,2,0
142,201.77,9,24,10,39,5,0
143,10.94,2,61,53,96,6,0
144,65.67,21,61,44,58,6,0
145,70.8,13,98,47,81,4,0
146,119.32,15,28,53,99,5,0
147,15.85,9,58,74,83,5,1
148,14.58,9,43,46,64,10,0
149,92.01,11,41,13,44,6,0
150,73.48,8,39,37,29,6,0
151,70.14,0,86,24,59,8,0
152,77.2,4,49,2,71,4,0
153,27.66,19,17,86,92,3,0
154,68.87,7,98,81,9,8,0
155,73.19,10,70,100,92,8,0
156,26.73,11,70,14,6,6,0
157,352.76,0,98,10,29,7,0
158,87.69,21,65,35,58,6,0
159,16.59,19,74,25,17,3,1
160,105.27,10,85,3,16,6,0
161,20.6,4,5,17,87,8,0
162,119.95,14,2,12,95,7,0
163,173.92,4,22,54,3,3,0
164,24.03,11,57,24,21,7,0
165,143.08,4,66,29,64,4,0
166,82.5,16,74,43,90,6,0
167,124.22,16,98,25,36,5,1
168,363.87,23,16,100,86,3,0
169,42.72,11,51,60,62,6,0
170,25.69,23,39,90,42,7,0
171,22.43,14,86,65,76,7,0
172,24.15,14,76,84,42,4,1
173,50.55,5,88,28,61,5,1
174,76.8,11,40,16,13,5,0
175,72,19,38,47,11,6,0
176,124.86,17,60,81,54,3,0
177,55.31,13,59,92,16,2,1
178,233.58,1,10,58,8,2,0
179,41.9,8,99,76,59,8,0
180,828.96,4,64,27,57,8,0
181,102.07,19,63,53,40,6,0
182,23.17,0,49,42,59,6,0
183,18.71,22,64,59,2,3,0
184,88.45,2,32,47,94,2,0
185,43.66,5,7,94,94,7,0
186,111.5,4,21,34,76,4,0
187,87.64,20,20,37,10,4,0
188,50.76,4,26,6,44,4,0
189,23.41,0,68,7,11,3,0
190,12,16,86,96,79,5,0
191,34.93,18,15,96,80,4,0
192,128.56,13,85,25,81,8,0
193,67.63,11,79,33,90,5,0
194,15.71,9,86,55,2,4,0
195,64.92,19,92,58,50,6,0
196,80.26,20,14,7,12,3,0
197,22.56,17,27,57,90,5,0
198,63.67,23,40,12,23,4,0
199,57.87,10,58,16,18,6,0
200,17.41,1,28,80,62,3,0
201,78.08,17,26,43,96,7,0
202,95.66,6,63,100,62,4,0
203,161.27,23,66,77,38,5,0
204,156.62,14,25,7,67,6,0
205,13.77,10,3,100,38,5,0
206,21.37,17,72,51,67,5,0
207,91.38,22,44,73,94,3,0
208,91.27,11,97,32,61,4,0
209,91.38,5,42,75,1,3,0
210,2572.75,19,99,8,94,2,1
211,96.63,22,6,97,45,4,0
212,169.96,12,39,87,96,5,0
213,141.74,19,52,89,28,5,0
214,104.73,15,23,72,21,8,0
215,39.83,17,89,45,13,3,0
216,116.63,9,50,86,27,6,0
217,25.21,22,43,59,100,9,1
218,43.09,7,19,4,7,10,0
219,33.6,17,69,67,22,3,0
220,59.26,20,51,29,74,5,0
221,552.61,0,11,29,53,5,0
222,8.44,22,12,98,79,7,0
223,108.45,7,74,98,79,6,0
224,10.88,5,8,28,4,2,0
225,34.06,4,24,77,96,3,0
226,162.22,14,92,79,23,7,0
227,58.22,21,41,87,70,6,1
228,18.58,14,36,44,88,5,0
229,26.7,1,85,90,84,6,0
230,107.73,0,72,4,84,5,1
231,26.3,22,55,90,76,5,0
232,67.79,22,9,9,33,2,0
233,57.14,10,47,5,28,9,0
234,28.46,9,15,56,8,3,0
235,465.89,17,48,96,1,5,0
236,102.92,17,82,84,37,8,0
237,7.21,16,42,50,63,7,0
238,65.79,7,60,75,22,4,0
239,28.17,14,84,15,70,6,0
240,128.05,7,70,32,21,6,0
241,24.72,16,12,28,96,4,0
242,48.68,11,2,22,35,4,0
243,90.47,7,7,17,79,6,0
244,129.77,13,80,59,5,2,0
245,16.44,3,3,90,60,5,0
246,39.08,0,3,71,46,3,0
247,33.96,0,27,57,50,2,0
248,28.41,18,40,26,48,3,0
249,319.08,15,33,25,6,5,0
250,81.86,13,92,10,89,5,0
251,15.47,20,1,45,56,3,0
252,136.71,15,8,83,59,10,0
253,455.85,4,32,11,29,5,0
254,153.31,8,48,77,71,6,0
255,11.95,1,4,53,77,5,0
256,33.64,17,94,72,18,4,0
257,193.82,5,70,68,2,7,0
258,26.91,8,19,95,8,6,1
259,85.1,0,32,28,75,6,0
260,118.47,8,9,75,97,5,0
261,21.61,15,12,65,54,5,0
262,51.44,12,11,49,38,4,0
263,5,8,46,47,48,2,0
264,19.6,20,16,52,27,2,0
265,42.41,12,1,88,20,6,0
266,15.68,8,63,54,12,7,0
267,279.33,10,21,60,43,7,0
268,13.06,3,30,57,61,4,0
269,35.16,1,13,47,31,7,0
270,62.22,5,34,31,91,6,0
271,230.74,13,4,46,96,7,0
272,12.99,3,28,26,61,2,1
273,174.72,5,95,5,74,4,0
274,55.16,18,59,84,67,4,0
275,20.46,5,27,52,91,7,0
276,86.67,1,69,75,35,3,0
277,66.62,17,25,54,95,10,0
278,29.96,12,3,33,15,5,0
279,58.55,8,97,50,16,4,0
280,37.14,22,68,38,13,6,0
281,61.16,18,25,27,35,6,0
282,105.86,12,20,98,75,3,0
283,266.67,10,34,15,59,4,0
284,15.83,0,26,96,21,6,0
285,460.83,23,5,61,54,5,1
286,7.75,21,99,21,75,4,1
287,46.91,6,61,46,30,2,0
288,98.33,20,92,69,48,5,0
289,72.31,14,93,6,35,3,0
290,29.29,0,9,38,86,9,1
291,44.34,11,50,62,38,8,0
292,33.35,6,6,86,31,6,0
293,30.28,14,83,62,78,3,0
294,127.69,20,60,82,24,5,0
295,78.02,18,44,78,49,7,0
296,27.31,0,11,74,96,4,0
297,134.24,16,66,46,100,3,0
298,74.24,16,47,13,32,6,0
299,123.08,2,73,95,55,6,0
300,102.48,11,85,94,79,6,1
301,23.83,5,88,3,58,6,0
302,31.18,10,98,94,99,7,0
303,115.27,2,86,6,3,5,0
304,100.52,7,3,93,80,1,0
305,53.47,13,76,8,69,7,0
306,61.39,13,92,44,85,6,1
307,195.91,9,30,33,10,7,0
308,30.22,1,90,81,83,7,0
309,94.36,13,21,75,25,3,0
310,44.6,8,28,77,68,3,0
311,43.92,2,90,50,61,4,0
312,163.82,20,62,11,29,7,0
313,124.64,7,33,95,19,5,0
314,123.16,15,85,28,43,4,0
315,201.44,1,35,70,66,4,0
316,55.76,5,52,41,74,4,0
317,107.98,20,34,16,61,5,1
318,40.03,11,41,68,43,3,0
319,75.5,4,51,99,25,5,0
320,47.94,1,47,48,20,5,0
321,60.16,15,82,56,48,7,0
322,99,4,58,64,83,3,0
323,24.09,14,75,59,87,2,0
324,442.48,11,57,90,24,6,0
325,19.97,3,23,62,11,6,0
326,16.21,14,48,76,98,7,0
327,173.84,10,22,11,55,7,0
328,120.5,15,17,89,28,2,1
329,101.91,22,69,18,69,4,0
330,102.34,5,11,19,63,4,0
331,53.93,13,94,87,59,8,1
332,22.26,17,15,55,5,7,0
333,58.9,11,91,82,51,4,0
334,27.74,10,35,26,21,5,0
335,144.77,12,33,6,12,2,0
336,47.13,20,84,4,50,5,0
337,23.91,22,16,29,4,5,0
338,39.59,10,34,59,42,2,0
339,82.51,22,66,98,84,3,1
340,31.07,15,99,17,38,7,1
341,23.99,14,40,43,25,5,0
342,69.66,20,28,80,14,3,0
343,69.75,14,47,66,75,8,0
344,32.89,3,39,34,32,6,0
345,34.09,10,70,8,11,5,0
346,68.86,18,73,13,61,7,0
347,12.83,14,20,8,18,8,1
348,13.36,3,1,94,27,4,1
349,26.62,20,72,96,55,6,1
350,44.1,12,87,100,54,7,1
351,74.51,21,63,94,82,3,0
352,238.74,18,67,65,87,6,0
353,128.72,1,4,43,75,3,1
354,46.53,13,58,39,21,4,0
355,53.57,3,25,81,44,2,1
356,20.03,15,47,59,5,3,0
357,53.6,20,38,84,87,4,0
358,40.91,19,15,88,41,4,0
359,75.39,13,63,86,59,7,1
360,23.87,14,21,93,89,2,0
361,91.78,2,99,86,54,6,1
362,252.84,7,57,44,74,7,0
363,48.97,15,53,9,22,7,0
364,81.59,9,46,37,83,4,0
365,108.87,3,14,74,65,5,0
366,36.55,17,100,36,64,6,0
367,68.31,1,76,92,71,5,0
368,55.29,16,17,28,4,5,0
369,60.2,12,39,42,65,5,0
370,25.2,3,9,43,15,5,0
371,55.95,10,99,85,76,6,0
372,89.84,6,77,88,22,3,1
373,233.02,11,79,42,86,4,0
374,142.49,9,82,66,47,3,0
375,470.21,6,97,55,81,2,0
376,25.35,12,6,72,93,9,0
377,130.62,6,91,48,46,2,0
378,65.58,23,23,91,14,11,0
379,487.75,16,59,22,50,6,0
380,24.33,9,91,27,20,7,0
381,23.58,9,98,93,50,4,0
382,29.98,23,46,67,33,7,0
383,6.53,3,38,13,59,5,0
384,32.27,19,14,45,43,4,0
385,25.56,3,100,10,79,1,0
386,63.46,21,72,100,12,6,1
387,76.84,6,62,9,40,9,0
388,356.44,21,35,54,20,3,0
389,141.23,0,19,27,94,4,0
390,30.66,11,30,34,38,7,0
391,22.23,23,78,1,3,2,0
392,89.29,12,84,32,28,6,0
393,14.58,9,25,89,56,6,0
394,340.86,14,40,93,90,8,1
395,177.58,12,88,71,94,6,1
396,34.15,22,14,67,13,2,0
397,9.84,21,26,84,77,5,0
398,211.43,21,87,20,66,7,0
399,48.69,20,22,94,37,2,0
400,188.26,21,48,35,49,2,0
401,11.08,8,83,99,66,3,1
402,29.98,8,51,91,36,7,0
403,54.89,14,3,90,54,5,0
404,57.22,9,42,78,26,6,0
405,34.81,23,19,17,75,9,0
406,101.78,9,73,18,72,6,0
407,18.77,7,28,45,40,7,0
408,47.35,23,84,93,43,4,0
409,61.58,15,45,84,22,4,0
410,91.33,16,71,53,20,5,0
411,111.23,4,78,91,8,5,0
412,17.73,3,63,82,29,6,0
413,11.77,17,73,68,40,5,0
414,195.91,23,19,65,90,6,0
415,76.12,18,47,1,30,4,0
416,25.83,3,14,58,81,2,0
417,257.53,6,38,26,84,4,0
418,61.29,9,53,20,55,4,1
419,177.56,17,61,87,16,4,0
420,58.41,18,36,10,46,7,0
421,428.7,3,40,59,62,8,0
422,315.87,9,81,75,7,6,1
423,42.57,0,30,41,80,5,0
424,144.25,22,9,5,45,3,0
425,104.1,17,64,65,59,1,0
426,214.57,4,33,17,56,5,0
427,20.8,14,52,22,48,4,1
428,108.42,16,89,98,27,6,0
429,157.34,2,14,41,53,4,0
430,9.41,11,75,93,87,5,1
431,16.72,1,53,68,88,7,0
432,7.1,0,99,69,73,4,1
433,41.7,22,59,11,35,4,0
434,111.89,20,78,56,51,5,1
435,245.27,16,94,51,84,6,0
436,58.8,21,41,21,37,6,0
437,278.28,15,68,99,81,5,1
438,13.73,4,68,76,95,9,1
439,9.94,14,92,26,57,7,0
440,51.65,2,8,19,8,5,0
441,80.16,6,2,60,79,4,1
442,52.84,10,86,71,95,4,0
443,6.91,9,41,47,94,5,0
444,49.94,8,55,71,20,5,0
445,14.81,13,16,26,53,4,0
446,106.66,12,93,40,12,5,0
447,78.78,1,62,5,49,4,1
448,21.33,2,48,21,17,6,0
449,32.66,6,30,78,64,3,0
450,18.93,20,12,4,42,7,0
451,51.28,17,35,23,94,6,0
452,141.9,2,11,84,29,2,0
453,20.37,9,64,15,19,6,0
454,90.38,21,50,93,11,5,1
455,32.13,6,85,8,98,1,1
456,24.71,8,21,41,50,6,0
457,49.06,16,69,19,71,5,0
458,19.39,10,48,46,58,7,0
459,31.39,6,20,28,34,2,0
460,16.48,23,67,91,20,3,0
461,389.45,13,44,68,50,3,0
462,56.56,18,33,15,88,4,1
463,27.12,3,73,99,10,4,0
464,67.63,5,61,37,32,2,0
465,48.8,9,9,1,52,4,0
466,43.77,6,68,67,15,4,0
467,100.9,12,35,24,84,4,0
468,116.46,13,81,27,3,3,0
469,32.12,3,98,40,37,4,0
470,30.7,7,88,63,40,7,0
471,41.47,4,96,61,72,3,1
472,5.46,0,65,36,40,5,0
473,12,3,8,98,56,5,0
474,214.19,2,45,93,23,4,0
475,282.86,8,87,24,11,5,0
476,42.56,7,47,24,64,4,0
477,97.18,0,40,4,8,4,0
478,74.53,5,76,67,93,7,0
479,1186.64,8,54,34,94,8,0
480,167.26,6,76,57,56,7,0
481,48.04,3,46,49,60,3,0
482,21,12,47,87,10,2,0
483,10.95,16,15,53,39,6,0
484,66.92,1,19,23,28,3,0
485,25.63,4,26,69,49,6,0
486,13.17,11,52,95,36,4,0
487,28.6,20,93,53,13,6,0
488,18.51,7,22,62,96,6,0
489,295.05,5,21,41,36,6,0
490,131.85,7,51,57,26,7,0
491,54.16,17,38,60,86,7,0
492,239.83,2,20,54,4,6,0
493,58.99,21,29,70,95,6,0
494,23.07,11,51,57,82,3,0
495,250.42,2,4,10,64,5,0
496,93.59,21,55,40,38,5,0
497,19.35,5,71,7,88,3,0
498,45.14,1,92,38,87,4,0
499,22.75,22,28,85,22,4,0
500,13.7,11,4,61,2,5,0
501,137.85,1,22,84,31,5,0
502,368.49,5,76,3,11,3,0
503,13.48,16,45,51,92,7,0
504,95.87,2,67,86,46,5,1
505,28.48,1,86,47,96,5,0
506,33.54,22,66,68,62,5,0
507,30.19,19,88,92,69,7,0
508,23.01,7,34,76,64,6,0
509,57.31,21,91,38,10,4,0
510,23.78,11,55,36,40,6,0
511,71.55,3,1,41,24,6,1
512,51.92,4,72,69,99,6,1
513,42.99,12,87,13,44,5,0
514,22.03,14,38,87,60,7,1
515,30.67,22,6,58,62,3,0
516,116.21,15,86,50,87,10,0
517,90.1,9,25,30,17,3,0
518,20.54,22,82,62,65,3,0
519,60.3,15,17,25,95,3,0
520,115.74,11,61,27,95,4,0
521,10.28,16,12,51,57,7,0
522,94.01,15,6,78,55,3,0
523,28.15,11,90,57,53,5,0
524,96.6,7,27,47,56,4,1
525,25.45,19,8,100,98,10,1
526,8.98,2,83,39,9,5,1
527,10.72,15,65,16,22,1,0
528,57.29,12,57,22,13,5,0
529,70.79,22,93,85,89,5,0
530,22.1,18,99,54,48,4,0
531,103.4,7,40,21,18,4,0
532,10.37,21,14,72,76,2,0
533,51.11,4,35,16,40,7,0
534,16.26,19,48,59,17,9,0
535,28.45,7,84,31,15,4,0
536,57.25,23,56,42,15,3,0
537,23.09,11,49,74,79,7,0
538,37.17,0,13,32,63,3,0
539,149.35,20,61,59,39,7,0
540,30.66,19,49,34,13,4,0
541,125.93,5,46,9,81,4,0
542,17.64,21,62,81,32,2,0
543,92.74,17,8,11,9,4,0
544,230.8,7,43,96,40,5,0
545,5,6,20,10,20,5,0
546,24.61,0,97,86,90,4,0
547,97.23,20,90,17,91,3,0
548,44.57,15,39,68,85,9,0
549,79.13,11,85,48,82,4,0
550,29.84,5,49,52,77,5,0
551,59.54,19,64,25,80,5,1
552,46.73,1,62,21,73,8,0
553,175.53,13,54,65,63,5,0
554,70.42,3,9,63,76,3,0
555,76.52,0,88,89,44,3,1
556,36.17,22,37,51,38,4,0
557,33.53,17,49,36,83,5,0
558,35.43,12,41,81,60,6,0
559,81,1,17,88,71,7,1
560,35.84,8,88,66,99,7,1
561,72.95,20,21,15,48,7,0
562,435.02,1,51,96,18,3,0
563,130.47,8,59,39,16,3,0
564,39.41,0,39,70,55,6,0
565,181.49,10,55,1,39,5,0
566,36.3,2,41,23,68,4,0
567,7.11,19,39,39,59,4,1
568,19.92,22,13,57,89,6,0
569,8.41,3,64,81,96,2,0
570,38.42,17,11,34,62,4,0
571,55.61,22,19,41,13,8,0
572,291.91,5,11,93,81,6,1
573,75.71,2,77,73,6,7,1
574,43.86,21,46,13,83,6,0
575,125.14,10,45,70,77,5,1
576,5.98,14,1,6,60,5,0
577,69.1,21,40,84,90,5,1
578,118.02,4,19,52,14,6,0
579,12.45,19,76,3,95,4,0
580,171.36,9,72,81,54,6,0
581,76.59,11,72,63,4,6,0
582,36.04,14,61,49,39,1,0
583,102.8,16,12,76,72,6,0
584,528.84,9,61,47,25,3,0
585,65.49,5,33,55,77,7,1
586,69.98,17,45,64,32,5,0
587,34.49,12,90,65,59,4,0
588,23.34,2,92,81,63,6,1
589,125.25,23,69,67,38,8,0
590,23.19,9,8,90,92,5,0
591,58.65,13,25,15,53,3,0
592,33.86,5,91,100,94,6,1
593,88.14,2,46,32,67,4,0
594,76.22,15,87,96,28,1,0
595,154.09,6,30,68,3,4,0
596,32.79,19,47,18,98,10,0
597,41.68,13,87,83,80,5,1
598,20.52,8,49,43,22,6,0
599,35.01,14,47,35,96,5,0
600,79.62,20,84,78,38,3,0
601,116.39,2,82,58,72,4,0
602,21.71,1,18,33,72,5,0
603,130.27,1,66,14,62,6,1
604,211.8,2,68,34,57,5,0
605,82.55,17,94,61,6,6,0
606,356.66,13,33,4,78,5,0
607,25.18,19,36,88,32,5,0
608,15.73,17,82,59,99,6,1
609,9.22,9,19,29,10,6,0
610,243.73,1,28,83,3,4,0
611,105.04,21,40,6,59,4,0
612,51.65,0,84,97,76,3,0
613,72.24,3,97,49,49,2,0
614,17.72,13,76,40,59,7,0
615,630.02,0,15,83,31,4,1
616,62.13,13,41,65,93,4,1
617,60.91,15,39,69,69,4,0
618,112.82,21,2,27,62,6,0
619,88.32,13,63,80,52,5,0
620,68.3,19,29,6,89,7,1
621,24.77,2,74,13,41,4,1
622,87.49,2,66,64,31,2,0
623,358.53,8,51,62,85,4,0
624,209.65,5,75,99,84,8,1
625,268.59,12,77,19,22,6,0
626,32.75,20,10,76,4,5,0
627,20.3,1,14,80,13,7,0
628,48.14,7,82,43,45,7,0
629,57.73,20,51,74,42,3,0
630,163.07,1,73,89,49,4,1
631,10.05,3,39,20,20,7,0
632,252.03,14,28,95,77,5,0
633,46.62,3,3,68,81,2,0
634,35.63,12,84,44,54,3,0
635,19.84,11,70,23,36,6,0
636,10.43,12,27,2,97,4,0
637,124.36,13,2,22,1,6,0
638,58.75,19,93,57,15,5,0
639,15.03,17,38,72,77,6,0
640,14.95,5,3,7,17,6,0
641,39.03,10,16,78,24,4,0
642,289.75,1,94,56,58,7,1
643,42.12,22,40,67,72,7,0
644,12.14,18,2,16,91,5,0
645,42.7,18,81,83,23,3,0
646,41.57,4,41,51,46,4,0
647,5,18,12,82,72,6,0
648,51.71,1,35,80,8,6,0
649,43.34,9,65,72,59,4,0
650,109.53,1,55,97,90,4,1
651,346.87,10,45,12,59,4,0
652,168.44,17,79,53,13,3,0
653,41.73,23,90,75,39,5,0
654,18.06,14,85,5,28,2,1
655,715.77,8,62,27,89,7,0
656,57.93,22,49,12,61,6,0
657,55.36,18,95,17,16,5,0
658,53.3,8,25,6,2,3,0
659,66.56,2,23,97,82,5,1
660,47.26,20,24,5,17,6,0
661,30.76,8,38,57,30,6,0
662,31.6,13,28,28,13,6,0
663,52.84,18,21,78,96,7,0
664,31.71,6,54,69,93,7,0
665,26.77,15,18,59,94,5,0
666,60.73,15,36,33,82,5,0
667,42.31,0,99,62,13,6,0
668,245.67,3,45,50,43,7,0
669,5,3,73,19,85,5,0
670,162.63,6,53,86,94,7,0
671,189.82,7,30,69,21,3,0
672,6.87,16,60,66,55,4,0
673,38.76,4,98,94,81,5,1
674,37.66,6,32,47,40,6,0
675,13.36,19,67,39,83,5,0
676,25.08,19,67,68,15,7,1
677,17.98,3,28,33,73,3,0
678,314.9,5,44,13,52,8,0
679,139.17,6,79,84,74,3,0
680,194.72,17,41,54,95,4,0
681,112.36,4,63,7,53,8,0
682,17.65,19,23,79,87,3,0
683,32.31,2,75,87,52,4,0
684,89.07,6,48,14,30,3,0
685,16.08,21,32,87,33,6,0
686,111.39,13,57,19,57,2,0
687,42.93,6,100,54,52,5,1
688,37.53,4,33,93,9,3,0
689,111.16,21,24,20,54,5,0
690,85.14,4,39,29,1,5,0
691,38.06,22,34,24,44,4,0
692,174.05,1,56,82,99,4,1
693,18.52,20,28,63,75,4,0
694,101.08,21,37,74,98,5,1
695,98.8,5,7,57,80,5,1
696,40.06,14,68,8,9,4,0
697,75.65,20,37,90,32,6,1
698,15.63,9,56,62,15,4,0
699,137.56,22,65,29,12,6,0
700,45.38,23,65,74,97,2,0
701,32.37,6,47,17,78,7,0
702,155.87,4,20,66,57,7,1
703,27,0,19,6,8,3,0
704,13.35,12,29,58,72,7,1
705,11.51,20,74,69,27,7,0
706,100.08,17,60,28,62,5,1
707,15.17,12,18,62,12,3,0
708,315.7,20,92,41,65,4,0
709,6.81,20,35,69,42,6,0
710,297.81,17,43,82,62,4,0
711,67.43,4,95,90,11,2,0
712,49.57,12,91,84,43,4,0
713,31.66,3,11,41,95,5,0
714,81.38,16,49,49,17,5,0
715,52.58,2,38,91,97,6,1
716,164.56,16,64,49,32,5,0
717,61.2,10,69,76,93,2,0
718,63.45,20,8,71,85,5,0
719,37.95,19,34,3,85,3,0
720,51.58,22,48,10,40,5,0
721,74.28,20,56,98,23,3,0
722,9.87,3,76,89,56,4,0
723,14.18,1,65,35,6,3,0
724,114.81,19,31,80,86,5,0
725,64.77,15,4,2,50,4,0
726,45.42,17,50,24,37,7,0
727,55.61,7,69,74,64,4,0
728,77.29,2,30,38,54,7,1
729,31.82,8,88,22,72,3,0
730,25.07,19,59,26,49,6,0
731,66.41,5,67,43,99,5,1
732,20.52,9,75,55,11,8,0
733,82.13,20,45,39,88,5,1
734,9.95,9,4,91,49,3,0
735,152.8,12,26,29,21,5,0
736,87.58,16,27,20,66,9,0
737,70.53,8,46,91,63,4,0
738,145.87,16,64,41,83,3,0
739,288.72,23,91,54,28,6,0
740,150.56,8,51,20,17,5,0
741,8.66,8,50,19,6,3,0
742,15.19,0,6,84,19,7,0
743,29.23,1,59,99,56,4,1
744,56.04,15,15,66,28,3,0
745,91.62,0,30,30,66,9,0
746,26.42,9,42,53,38,6,0
747,65.81,17,37,34,37,5,0
748,25.65,7,42,22,68,3,0
749,29.62,20,35,67,86,4,0
750,13.37,10,87,6,90,7,0
751,21.69,22,6,79,49,1,0
752,14.13,1,68,27,43,4,1
753,20.58,7,18,10,36,4,0
754,156.59,21,73,73,58,6,0
755,21.13,7,29,97,13,1,0
756,759.29,16,77,96,52,6,1
757,89.42,14,59,48,58,5,0
758,65.68,16,47,70,32,3,1
759,23.14,22,17,59,81,5,1
760,109.98,23,96,100,100,7,1
761,30.7,12,22,59,60,9,1
762,61.68,18,68,2,83,4,0
763,706.33,4,69,29,58,3,1
764,49.6,11,37,68,99,4,0
765,172.31,0,49,65,56,4,0
766,27.03,22,13,83,28,3,0
767,52.72,4,34,26,1,2,0
768,320.79,7,86,89,42,8,0
769,29.17,12,53,10,82,6,0
770,334.44,7,87,53,48,9,0
771,110.8,22,51,79,40,4,0
772,31.11,10,3,59,97,5,0
