Decimal_Value,Bit_9,Bit_8,Bit_7,Bit_6,Bit_5,Bit_4,Bit_3,Bit_2,Bit_1,Bit_0
651,1,0,1,0,0,0,1,0,1,1
874,1,1,0,1,1,0,1,0,1,0
707,1,0,1,1,0,0,0,0,1,1
319,0,1,0,0,1,1,1,1,1,1
520,1,0,0,0,0,0,1,0,0,0
55,0,0,0,0,1,1,0,1,1,1
736,1,0,1,1,1,0,0,0,0,0
224,0,0,1,1,1,0,0,0,0,0
776,1,1,0,0,0,0,1,0,0,0
313,0,1,0,0,1,1,1,0,0,1
995,1,1,1,1,1,0,0,0,1,1
970,1,1,1,1,0,0,1,0,1,0
818,1,1,0,0,1,1,0,0,1,0
960,1,1,1,1,0,0,0,0,0,0
292,0,1,0,0,1,0,0,1,0,0
301,0,1,0,0,1,0,1,1,0,1
709,1,0,1,1,0,0,0,1,0,1
1011,1,1,1,1,1,1,0,0,1,1
280,0,1,0,0,0,1,1,0,0,0
175,0,0,1,0,1,0,1,1,1,1
858,1,1,0,1,0,1,1,0,1,0
109,0,0,0,1,1,0,1,1,0,1
231,0,0,1,1,1,0,0,1,1,1
669,1,0,1,0,0,1,1,1,0,1
684,1,0,1,0,1,0,1,1,0,0
536,1,0,0,0,0,1,1,0,0,0
394,0,1,1,0,0,0,1,0,1,0
651,1,0,1,0,0,0,1,0,1,1
88,0,0,0,1,0,1,1,0,0,0
119,0,0,0,1,1,1,0,1,1,1
825,1,1,0,0,1,1,1,0,0,1
146,0,0,1,0,0,1,0,0,1,0
469,0,1,1,1,0,1,0,1,0,1
949,1,1,1,0,1,1,0,1,0,1
882,1,1,0,1,1,1,0,0,1,0
1016,1,1,1,1,1,1,1,0,0,0
60,0,0,0,0,1,1,1,1,0,0
891,1,1,0,1,1,1,1,0,1,1
183,0,0,1,0,1,1,0,1,1,1
607,1,0,0,1,0,1,1,1,1,1
318,0,1,0,0,1,1,1,1,1,0
809,1,1,0,0,1,0,1,0,0,1
13,0,0,0,0,0,0,1,1,0,1
851,1,1,0,1,0,1,0,0,1,1
462,0,1,1,1,0,0,1,1,1,0
506,0,1,1,1,1,1,1,0,1,0
778,1,1,0,0,0,0,1,0,1,0
1012,1,1,1,1,1,1,0,1,0,0
687,1,0,1,0,1,0,1,1,1,1
273,0,1,0,0,0,1,0,0,0,1
715,1,0,1,1,0,0,1,0,1,1
974,1,1,1,1,0,0,1,1,1,0
718,1,0,1,1,0,0,1,1,1,0
27,0,0,0,0,0,1,1,0,1,1
288,0,1,0,0,1,0,0,0,0,0
115,0,0,0,1,1,1,0,0,1,1
721,1,0,1,1,0,1,0,0,0,1
756,1,0,1,1,1,1,0,1,0,0
707,1,0,1,1,0,0,0,0,1,1
555,1,0,0,0,1,0,1,0,1,1
203,0,0,1,1,0,0,1,0,1,1
24,0,0,0,0,0,1,1,0,0,0
610,1,0,0,1,1,0,0,0,1,0
207,0,0,1,1,0,0,1,1,1,1
994,1,1,1,1,1,0,0,0,1,0
837,1,1,0,1,0,0,0,1,0,1
115,0,0,0,1,1,1,0,0,1,1
979,1,1,1,1,0,1,0,0,1,1
394,0,1,1,0,0,0,1,0,1,0
197,0,0,1,1,0,0,0,1,0,1
10,0,0,0,0,0,0,1,0,1,0
365,0,1,0,1,1,0,1,1,0,1
36,0,0,0,0,1,0,0,1,0,0
1019,1,1,1,1,1,1,1,0,1,1
626,1,0,0,1,1,1,0,0,1,0
632,1,0,0,1,1,1,1,0,0,0
694,1,0,1,0,1,1,0,1,1,0
919,1,1,1,0,0,1,0,1,1,1
844,1,1,0,1,0,0,1,1,0,0
375,0,1,0,1,1,1,0,1,1,1
874,1,1,0,1,1,0,1,0,1,0
452,0,1,1,1,0,0,0,1,0,0
607,1,0,0,1,0,1,1,1,1,1
220,0,0,1,1,0,1,1,1,0,0
817,1,1,0,0,1,1,0,0,0,1
269,0,1,0,0,0,0,1,1,0,1
36,0,0,0,0,1,0,0,1,0,0
329,0,1,0,1,0,0,1,0,0,1
977,1,1,1,1,0,1,0,0,0,1
754,1,0,1,1,1,1,0,0,1,0
788,1,1,0,0,0,1,0,1,0,0
1021,1,1,1,1,1,1,1,1,0,1
660,1,0,1,0,0,1,0,1,0,0
409,0,1,1,0,0,1,1,0,0,1
981,1,1,1,1,0,1,0,1,0,1
636,1,0,0,1,1,1,1,1,0,0
554,1,0,0,0,1,0,1,0,1,0
895,1,1,0,1,1,1,1,1,1,1
610,1,0,0,1,1,0,0,0,1,0
889,1,1,0,1,1,1,1,0,0,1
688,1,0,1,0,1,1,0,0,0,0
656,1,0,1,0,0,1,0,0,0,0
798,1,1,0,0,0,1,1,1,1,0
177,0,0,1,0,1,1,0,0,0,1
600,1,0,0,1,0,1,1,0,0,0
464,0,1,1,1,0,1,0,0,0,0
177,0,0,1,0,1,1,0,0,0,1
311,0,1,0,0,1,1,0,1,1,1
805,1,1,0,0,1,0,0,1,0,1
761,1,0,1,1,1,1,1,0,0,1
703,1,0,1,0,1,1,1,1,1,1
575,1,0,0,0,1,1,1,1,1,1
665,1,0,1,0,0,1,1,0,0,1
739,1,0,1,1,1,0,0,0,1,1
78,0,0,0,1,0,0,1,1,1,0
847,1,1,0,1,0,0,1,1,1,1
808,1,1,0,0,1,0,1,0,0,0
643,1,0,1,0,0,0,0,0,1,1
42,0,0,0,0,1,0,1,0,1,0
275,0,1,0,0,0,1,0,0,1,1
551,1,0,0,0,1,0,0,1,1,1
846,1,1,0,1,0,0,1,1,1,0
995,1,1,1,1,1,0,0,0,1,1
746,1,0,1,1,1,0,1,0,1,0
205,0,0,1,1,0,0,1,1,0,1
947,1,1,1,0,1,1,0,0,1,1
798,1,1,0,0,0,1,1,1,1,0
365,0,1,0,1,1,0,1,1,0,1
674,1,0,1,0,1,0,0,0,1,0
63,0,0,0,0,1,1,1,1,1,1
656,1,0,1,0,0,1,0,0,0,0
1023,1,1,1,1,1,1,1,1,1,1
267,0,1,0,0,0,0,1,0,1,1
311,0,1,0,0,1,1,0,1,1,1
250,0,0,1,1,1,1,1,0,1,0
672,1,0,1,0,1,0,0,0,0,0
380,0,1,0,1,1,1,1,1,0,0
261,0,1,0,0,0,0,0,1,0,1
964,1,1,1,1,0,0,0,1,0,0
985,1,1,1,1,0,1,1,0,0,1
413,0,1,1,0,0,1,1,1,0,1
990,1,1,1,1,0,1,1,1,1,0
198,0,0,1,1,0,0,0,1,1,0
229,0,0,1,1,1,0,0,1,0,1
46,0,0,0,0,1,0,1,1,1,0
918,1,1,1,0,0,1,0,1,1,0
588,1,0,0,1,0,0,1,1,0,0
515,1,0,0,0,0,0,0,0,1,1
900,1,1,1,0,0,0,0,1,0,0
577,1,0,0,1,0,0,0,0,0,1
1004,1,1,1,1,1,0,1,1,0,0
679,1,0,1,0,1,0,0,1,1,1
868,1,1,0,1,1,0,0,1,0,0
612,1,0,0,1,1,0,0,1,0,0
295,0,1,0,0,1,0,0,1,1,1
618,1,0,0,1,1,0,1,0,1,0
833,1,1,0,1,0,0,0,0,0,1
700,1,0,1,0,1,1,1,1,0,0
837,1,1,0,1,0,0,0,1,0,1
462,0,1,1,1,0,0,1,1,1,0
100,0,0,0,1,1,0,0,1,0,0
39,0,0,0,0,1,0,0,1,1,1
287,0,1,0,0,0,1,1,1,1,1
54,0,0,0,0,1,1,0,1,1,0
393,0,1,1,0,0,0,1,0,0,1
975,1,1,1,1,0,0,1,1,1,1
535,1,0,0,0,0,1,0,1,1,1
314,0,1,0,0,1,1,1,0,1,0
771,1,1,0,0,0,0,0,0,1,1
354,0,1,0,1,1,0,0,0,1,0
730,1,0,1,1,0,1,1,0,1,0
118,0,0,0,1,1,1,0,1,1,0
264,0,1,0,0,0,0,1,0,0,0
20,0,0,0,0,0,1,0,1,0,0
155,0,0,1,0,0,1,1,0,1,1
553,1,0,0,0,1,0,1,0,0,1
421,0,1,1,0,1,0,0,1,0,1
31,0,0,0,0,0,1,1,1,1,1
611,1,0,0,1,1,0,0,0,1,1
609,1,0,0,1,1,0,0,0,0,1
99,0,0,0,1,1,0,0,0,1,1
651,1,0,1,0,0,0,1,0,1,1
175,0,0,1,0,1,0,1,1,1,1
192,0,0,1,1,0,0,0,0,0,0
577,1,0,0,1,0,0,0,0,0,1
428,0,1,1,0,1,0,1,1,0,0
127,0,0,0,1,1,1,1,1,1,1
194,0,0,1,1,0,0,0,0,1,0
925,1,1,1,0,0,1,1,1,0,1
458,0,1,1,1,0,0,1,0,1,0
158,0,0,1,0,0,1,1,1,1,0
35,0,0,0,0,1,0,0,0,1,1
508,0,1,1,1,1,1,1,1,0,0
604,1,0,0,1,0,1,1,1,0,0
218,0,0,1,1,0,1,1,0,1,0
707,1,0,1,1,0,0,0,0,1,1
305,0,1,0,0,1,1,0,0,0,1
897,1,1,1,0,0,0,0,0,0,1
632,1,0,0,1,1,1,1,0,0,0
160,0,0,1,0,1,0,0,0,0,0
914,1,1,1,0,0,1,0,0,1,0
658,1,0,1,0,0,1,0,0,1,0
532,1,0,0,0,0,1,0,1,0,0
246,0,0,1,1,1,1,0,1,1,0
99,0,0,0,1,1,0,0,0,1,1
148,0,0,1,0,0,1,0,1,0,0
841,1,1,0,1,0,0,1,0,0,1
753,1,0,1,1,1,1,0,0,0,1
1011,1,1,1,1,1,1,0,0,1,1
609,1,0,0,1,1,0,0,0,0,1
139,0,0,1,0,0,0,1,0,1,1
34,0,0,0,0,1,0,0,0,1,0
387,0,1,1,0,0,0,0,0,1,1
130,0,0,1,0,0,0,0,0,1,0
244,0,0,1,1,1,1,0,1,0,0
1006,1,1,1,1,1,0,1,1,1,0
721,1,0,1,1,0,1,0,0,0,1
849,1,1,0,1,0,1,0,0,0,1
13,0,0,0,0,0,0,1,1,0,1
554,1,0,0,0,1,0,1,0,1,0
506,0,1,1,1,1,1,1,0,1,0
358,0,1,0,1,1,0,0,1,1,0
121,0,0,0,1,1,1,1,0,0,1
1021,1,1,1,1,1,1,1,1,0,1
203,0,0,1,1,0,0,1,0,1,1
576,1,0,0,1,0,0,0,0,0,0
256,0,1,0,0,0,0,0,0,0,0
543,1,0,0,0,0,1,1,1,1,1
1023,1,1,1,1,1,1,1,1,1,1
692,1,0,1,0,1,1,0,1,0,0
463,0,1,1,1,0,0,1,1,1,1
544,1,0,0,0,1,0,0,0,0,0
761,1,0,1,1,1,1,1,0,0,1
853,1,1,0,1,0,1,0,1,0,1
7,0,0,0,0,0,0,0,1,1,1
775,1,1,0,0,0,0,0,1,1,1
553,1,0,0,0,1,0,1,0,0,1
160,0,0,1,0,1,0,0,0,0,0
100,0,0,0,1,1,0,0,1,0,0
586,1,0,0,1,0,0,1,0,1,0
433,0,1,1,0,1,1,0,0,0,1
936,1,1,1,0,1,0,1,0,0,0
601,1,0,0,1,0,1,1,0,0,1
464,0,1,1,1,0,1,0,0,0,0
731,1,0,1,1,0,1,1,0,1,1
890,1,1,0,1,1,1,1,0,1,0
526,1,0,0,0,0,0,1,1,1,0
615,1,0,0,1,1,0,0,1,1,1
737,1,0,1,1,1,0,0,0,0,1
483,0,1,1,1,1,0,0,0,1,1
940,1,1,1,0,1,0,1,1,0,0
980,1,1,1,1,0,1,0,1,0,0
684,1,0,1,0,1,0,1,1,0,0
175,0,0,1,0,1,0,1,1,1,1
145,0,0,1,0,0,1,0,0,0,1
282,0,1,0,0,0,1,1,0,1,0
782,1,1,0,0,0,0,1,1,1,0
380,0,1,0,1,1,1,1,1,0,0
487,0,1,1,1,1,0,0,1,1,1
106,0,0,0,1,1,0,1,0,1,0
519,1,0,0,0,0,0,0,1,1,1
131,0,0,1,0,0,0,0,0,1,1
903,1,1,1,0,0,0,0,1,1,1
358,0,1,0,1,1,0,0,1,1,0
853,1,1,0,1,0,1,0,1,0,1
511,0,1,1,1,1,1,1,1,1,1
182,0,0,1,0,1,1,0,1,1,0
292,0,1,0,0,1,0,0,1,0,0
951,1,1,1,0,1,1,0,1,1,1
721,1,0,1,1,0,1,0,0,0,1
127,0,0,0,1,1,1,1,1,1,1
33,0,0,0,0,1,0,0,0,0,1
863,1,1,0,1,0,1,1,1,1,1
263,0,1,0,0,0,0,0,1,1,1
717,1,0,1,1,0,0,1,1,0,1
911,1,1,1,0,0,0,1,1,1,1
720,1,0,1,1,0,1,0,0,0,0
310,0,1,0,0,1,1,0,1,1,0
288,0,1,0,0,1,0,0,0,0,0
833,1,1,0,1,0,0,0,0,0,1
681,1,0,1,0,1,0,1,0,0,1
694,1,0,1,0,1,1,0,1,1,0
521,1,0,0,0,0,0,1,0,0,1
789,1,1,0,0,0,1,0,1,0,1
98,0,0,0,1,1,0,0,0,1,0
102,0,0,0,1,1,0,0,1,1,0
869,1,1,0,1,1,0,0,1,0,1
371,0,1,0,1,1,1,0,0,1,1
10,0,0,0,0,0,0,1,0,1,0
445,0,1,1,0,1,1,1,1,0,1
48,0,0,0,0,1,1,0,0,0,0
647,1,0,1,0,0,0,0,1,1,1
201,0,0,1,1,0,0,1,0,0,1
350,0,1,0,1,0,1,1,1,1,0
263,0,1,0,0,0,0,0,1,1,1
587,1,0,0,1,0,0,1,0,1,1
221,0,0,1,1,0,1,1,1,0,1
327,0,1,0,1,0,0,0,1,1,1
327,0,1,0,1,0,0,0,1,1,1
224,0,0,1,1,1,0,0,0,0,0
520,1,0,0,0,0,0,1,0,0,0
932,1,1,1,0,1,0,0,1,0,0
292,0,1,0,0,1,0,0,1,0,0
120,0,0,0,1,1,1,1,0,0,0
196,0,0,1,1,0,0,0,1,0,0
382,0,1,0,1,1,1,1,1,1,0
187,0,0,1,0,1,1,1,0,1,1
196,0,0,1,1,0,0,0,1,0,0
263,0,1,0,0,0,0,0,1,1,1
460,0,1,1,1,0,0,1,1,0,0
695,1,0,1,0,1,1,0,1,1,1
89,0,0,0,1,0,1,1,0,0,1
574,1,0,0,0,1,1,1,1,1,0
389,0,1,1,0,0,0,0,1,0,1
108,0,0,0,1,1,0,1,1,0,0
915,1,1,1,0,0,1,0,0,1,1
152,0,0,1,0,0,1,1,0,0,0
621,1,0,0,1,1,0,1,1,0,1
669,1,0,1,0,0,1,1,1,0,1
473,0,1,1,1,0,1,1,0,0,1
776,1,1,0,0,0,0,1,0,0,0
831,1,1,0,0,1,1,1,1,1,1
771,1,1,0,0,0,0,0,0,1,1
233,0,0,1,1,1,0,1,0,0,1
722,1,0,1,1,0,1,0,0,1,0
459,0,1,1,1,0,0,1,0,1,1
296,0,1,0,0,1,0,1,0,0,0
671,1,0,1,0,0,1,1,1,1,1
136,0,0,1,0,0,0,1,0,0,0
615,1,0,0,1,1,0,0,1,1,1
987,1,1,1,1,0,1,1,0,1,1
265,0,1,0,0,0,0,1,0,0,1
44,0,0,0,0,1,0,1,1,0,0
232,0,0,1,1,1,0,1,0,0,0
209,0,0,1,1,0,1,0,0,0,1
229,0,0,1,1,1,0,0,1,0,1
635,1,0,0,1,1,1,1,0,1,1
582,1,0,0,1,0,0,0,1,1,0
813,1,1,0,0,1,0,1,1,0,1
545,1,0,0,0,1,0,0,0,0,1
